Date,T2M,RH2M,PRECTOTCORR,WS2M
2016-10-22,17.04,72.98,2.21,1.94
2016-10-23,16.32,77.34,0.74,1.37
2016-10-24,16.73,69.06,0.38,1.62
2016-10-25,17.7,70.37,0.69,2.52
2016-10-26,17.51,71.71,0.97,3.44
2016-10-27,17.46,72.45,0.62,3.16
2016-10-28,15.66,84.0,7.57,3.13
2016-10-29,16.46,76.21,3.35,2.89
2016-10-30,17.42,66.59,0.4,2.43
2016-10-31,17.62,69.01,0.6,2.6
2016-11-01,17.72,72.53,1.7,2.56
2016-11-02,16.82,80.55,6.33,2.5
2016-11-03,16.94,81.99,8.3,2.84
2016-11-04,16.85,79.45,4.24,2.61
2016-11-05,16.66,79.25,5.5,2.9
2016-11-06,16.65,76.41,2.99,3.34
2016-11-07,16.81,77.38,4.22,2.86
2016-11-08,16.12,76.26,4.42,2.88
2016-11-09,16.28,76.62,3.38,2.27
2016-11-10,16.01,80.03,4.41,2.14
2016-11-11,16.24,77.5,4.89,2.11
2016-11-12,16.77,70.07,2.96,2.14
2016-11-13,16.65,77.97,4.45,2.54
2016-11-14,16.06,82.59,9.93,3.06
2016-11-15,15.9,84.85,16.83,3.5
2016-11-16,15.68,86.12,23.68,3.17
2016-11-17,14.97,89.5,21.61,2.75
2016-11-18,16.04,86.44,12.87,2.82
2016-11-19,15.49,89.65,19.38,2.79
2016-11-20,15.76,87.87,13.74,2.82
2016-11-21,16.15,88.07,21.12,3.13
2016-11-22,15.22,85.74,7.66,2.37
2016-11-23,15.71,86.48,6.7,1.58
2016-11-24,16.06,86.7,10.88,1.14
2016-11-25,16.28,86.08,13.48,1.76
2016-11-26,16.54,84.12,6.11,1.42
2016-11-27,16.62,85.57,4.76,2.28
2016-11-28,16.76,85.68,5.99,2.54
2016-11-29,16.45,86.92,5.88,2.96
2016-11-30,16.03,86.41,4.87,3.05
2016-12-01,16.08,81.68,0.45,2.24
2016-12-02,16.72,82.77,1.08,1.77
2016-12-03,15.84,86.69,1.47,2.68
2016-12-04,15.7,85.76,5.76,3.24
2016-12-05,15.18,81.81,1.52,2.46
2016-12-06,15.17,77.27,0.32,2.19
2016-12-07,15.92,81.21,0.85,2.26
2016-12-08,16.04,81.7,0.94,2.53
2016-12-09,16.04,78.59,0.41,2.08
2016-12-10,16.18,79.59,0.67,2.23
2016-12-11,16.19,82.19,1.49,2.5
2016-12-12,16.27,82.68,1.91,2.59
2016-12-13,15.6,81.27,1.0,2.48
2016-12-14,15.36,78.16,0.39,2.13
2016-12-15,16.21,73.25,0.17,1.83
2016-12-16,16.86,73.53,0.6,1.53
2016-12-17,16.52,71.0,0.2,2.28
2016-12-18,15.46,71.93,0.17,2.52
2016-12-19,15.13,67.2,0.04,2.43
2016-12-20,15.18,71.56,0.09,2.53
2016-12-21,16.12,79.97,1.22,2.39
2016-12-22,15.68,81.95,1.4,3.07
2016-12-23,15.66,77.32,0.25,2.92
2016-12-24,15.49,80.78,0.59,2.74
2016-12-25,15.68,83.56,1.2,2.22
2016-12-26,16.05,81.5,3.0,2.86
2016-12-27,16.27,81.11,2.06,2.65
2016-12-28,16.48,77.06,0.95,2.59
2016-12-29,16.81,78.47,1.02,2.58
2016-12-30,16.55,80.58,1.81,2.25
2016-12-31,16.49,78.1,1.08,2.4
2017-01-01,16.12,75.81,0.71,2.26
2017-01-02,16.31,72.87,0.3,2.26
2017-01-03,15.98,68.18,0.05,2.34
2017-01-04,15.22,64.43,0.03,2.47
2017-01-05,15.53,73.98,0.22,2.53
2017-01-06,15.71,69.14,0.01,2.34
2017-01-07,16.45,64.18,0.0,1.95
2017-01-08,17.12,58.39,0.0,1.25
2017-01-09,17.49,51.88,0.0,1.7
2017-01-10,16.33,54.19,0.0,2.45
2017-01-11,15.28,54.07,0.3,2.87
2017-01-12,15.36,58.17,0.01,2.84
2017-01-13,15.8,58.13,0.0,2.29
2017-01-14,16.94,60.81,0.61,1.72
2017-01-15,16.47,65.79,2.94,1.97
2017-01-16,16.02,53.82,0.06,2.65
2017-01-17,15.39,68.08,0.49,2.56
2017-01-18,15.64,69.73,0.4,2.63
2017-01-19,16.76,66.07,0.29,2.34
2017-01-20,17.2,64.2,0.07,1.64
2017-01-21,17.28,60.21,0.41,2.25
2017-01-22,16.0,70.16,0.84,2.49
2017-01-23,16.19,69.68,0.77,2.56
2017-01-24,16.58,64.32,0.55,2.35
2017-01-25,17.29,68.99,1.51,2.3
2017-01-26,17.57,67.17,0.6,2.34
2017-01-27,17.36,65.86,0.32,2.15
2017-01-28,17.93,64.49,0.34,1.98
2017-01-29,18.22,67.61,0.88,1.33
2017-01-30,18.71,68.35,0.6,1.86
2017-01-31,17.92,76.2,4.43,2.09
2017-02-01,17.67,73.26,4.68,2.0
2017-02-02,17.54,69.83,1.56,2.13
2017-02-03,17.71,66.69,1.24,2.46
2017-02-04,16.81,70.35,2.36,2.64
2017-02-05,16.65,75.11,0.93,2.7
2017-02-06,17.16,75.01,0.72,2.64
2017-02-07,18.19,66.81,0.12,2.46
2017-02-08,18.15,62.29,0.15,2.44
2017-02-09,17.82,62.13,0.08,2.67
2017-02-10,17.41,61.78,0.02,2.93
2017-02-11,17.66,64.16,0.03,3.01
2017-02-12,17.58,60.73,0.0,2.78
2017-02-13,18.24,62.37,0.03,2.55
2017-02-14,17.78,66.67,0.06,3.18
2017-02-15,17.01,70.81,2.43,3.38
2017-02-16,16.87,75.46,8.53,3.13
2017-02-17,17.32,78.12,5.78,2.52
2017-02-18,17.59,78.68,10.65,2.95
2017-02-19,16.28,83.01,11.52,3.1
2017-02-20,16.26,75.79,1.73,2.6
2017-02-21,17.14,66.23,0.06,2.54
2017-02-22,17.04,64.59,0.23,1.74
2017-02-23,17.49,71.04,1.01,1.74
2017-02-24,17.78,74.08,1.01,2.68
2017-02-25,17.21,75.57,1.66,2.95
2017-02-26,17.68,71.34,0.98,2.56
2017-02-27,17.64,71.01,1.14,2.52
2017-02-28,16.93,73.08,1.16,2.32
2017-03-01,16.66,72.16,1.84,2.59
2017-03-02,18.25,60.08,1.39,2.06
2017-03-03,18.64,64.98,5.55,1.82
2017-03-04,18.45,63.78,1.52,2.14
2017-03-05,18.56,56.5,0.29,2.22
2017-03-06,18.85,54.99,0.14,2.05
2017-03-07,19.35,50.8,0.01,2.35
2017-03-08,18.77,57.86,0.07,2.74
2017-03-09,18.97,55.36,0.09,2.26
2017-03-10,18.8,58.74,0.03,2.49
2017-03-11,18.29,58.14,0.02,3.06
2017-03-12,17.91,68.82,1.3,2.83
2017-03-13,18.66,56.09,0.05,2.44
2017-03-14,19.47,53.61,0.16,2.31
2017-03-15,19.17,65.59,1.26,2.26
2017-03-16,19.12,65.7,0.85,2.8
2017-03-17,19.35,63.59,0.32,2.0
2017-03-18,18.43,63.46,1.2,2.46
2017-03-19,18.66,68.3,1.09,3.39
2017-03-20,18.69,70.77,0.7,2.28
2017-03-21,18.99,71.15,0.67,3.0
2017-03-22,18.66,73.04,2.32,3.48
2017-03-23,19.11,67.4,1.16,3.02
2017-03-24,19.34,61.85,0.42,2.84
2017-03-25,19.27,61.62,0.5,2.61
2017-03-26,19.21,67.68,2.52,1.94
2017-03-27,18.89,72.49,3.11,2.74
2017-03-28,18.79,72.18,1.89,3.65
2017-03-29,18.55,72.26,1.62,3.67
2017-03-30,17.9,74.77,2.53,3.38
2017-03-31,18.7,66.73,0.75,2.99
2017-04-01,17.99,65.61,1.87,2.95
2017-04-02,18.48,60.62,1.51,3.1
2017-04-03,18.34,68.69,3.94,2.99
2017-04-04,18.08,72.25,6.55,3.18
2017-04-05,17.32,70.91,12.44,3.22
2017-04-06,17.48,79.93,6.06,3.35
2017-04-07,16.96,80.89,4.66,3.59
2017-04-08,16.95,81.18,3.66,3.39
2017-04-09,17.46,80.09,3.21,3.59
2017-04-10,17.09,81.79,4.54,3.27
2017-04-11,17.6,75.13,0.24,3.04
2017-04-12,17.81,74.24,0.11,3.57
2017-04-13,17.8,69.9,0.05,3.36
2017-04-14,17.73,66.24,0.02,2.72
2017-04-15,19.13,60.83,0.08,2.25
2017-04-16,18.09,78.43,7.85,2.46
2017-04-17,19.04,73.71,18.34,2.6
2017-04-18,16.58,88.05,31.7,2.52
2017-04-19,16.93,84.57,11.75,2.8
2017-04-20,16.6,84.57,11.84,2.78
2017-04-21,16.69,83.66,4.73,2.65
2017-04-22,16.54,83.16,8.59,3.05
2017-04-23,16.77,81.64,6.0,2.75
2017-04-24,17.33,81.41,1.28,2.64
2017-04-25,16.61,83.28,7.77,3.55
2017-04-26,17.12,80.71,2.99,3.39
2017-04-27,17.39,81.32,10.62,3.43
2017-04-28,17.6,76.39,3.28,2.64
2017-04-29,16.73,82.38,12.41,3.06
2017-04-30,16.49,83.2,17.07,2.89
2017-05-01,15.04,87.55,22.58,2.08
2017-05-02,16.28,84.24,12.49,2.8
2017-05-03,15.87,86.77,22.05,3.04
2017-05-04,15.82,84.97,8.32,2.98
2017-05-05,16.12,87.7,19.15,2.99
2017-05-06,16.5,87.46,6.28,3.52
2017-05-07,16.45,85.29,3.0,3.19
2017-05-08,16.45,84.43,6.94,2.99
2017-05-09,15.22,86.36,11.15,3.39
2017-05-10,15.29,85.3,6.28,2.63
2017-05-11,16.59,85.76,8.71,3.24
2017-05-12,16.45,86.05,3.66,3.06
2017-05-13,15.96,80.58,1.58,2.76
2017-05-14,16.17,81.59,1.72,2.68
2017-05-15,16.51,82.54,1.67,2.69
2017-05-16,16.71,80.19,1.35,2.3
2017-05-17,16.27,81.18,1.59,2.64
2017-05-18,16.16,84.7,1.59,2.62
2017-05-19,15.95,76.78,0.7,3.1
2017-05-20,16.28,75.73,1.48,3.07
2017-05-21,16.2,76.19,1.18,3.2
2017-05-22,16.26,78.46,2.03,3.2
2017-05-23,15.76,76.53,1.76,3.03
2017-05-24,16.21,77.99,1.45,2.53
2017-05-25,17.01,76.48,1.11,2.3
2017-05-26,16.71,75.66,1.28,1.44
2017-05-27,16.9,72.68,1.61,1.61
2017-05-28,17.36,82.44,17.08,1.39
2017-05-29,16.11,87.94,17.91,2.25
2017-05-30,15.83,84.13,5.21,2.23
2017-05-31,16.14,83.0,1.53,2.31
2017-06-01,16.24,81.29,0.6,2.02
2017-06-02,16.66,81.55,1.1,1.75
2017-06-03,16.75,81.84,1.17,2.2
2017-06-04,17.04,82.1,1.22,1.92
2017-06-05,16.43,79.55,0.62,1.7
2017-06-06,16.04,80.55,0.62,2.07
2017-06-07,16.97,77.89,0.73,1.79
2017-06-08,17.14,79.29,0.78,1.46
2017-06-09,16.62,80.02,1.06,1.94
2017-06-10,16.1,79.03,2.32,2.33
2017-06-11,14.86,78.28,1.49,2.3
2017-06-12,15.49,79.01,5.54,3.21
2017-06-13,15.66,78.23,2.58,2.94
2017-06-14,15.55,80.15,5.35,3.05
2017-06-15,15.58,81.05,1.12,2.96
2017-06-16,15.66,77.36,0.7,2.56
2017-06-17,15.51,77.38,0.68,2.64
2017-06-18,15.41,80.68,0.65,2.73
2017-06-19,15.18,79.21,1.44,2.94
2017-06-20,15.83,79.88,3.52,2.54
2017-06-21,15.62,80.12,2.5,1.42
2017-06-22,15.5,79.51,0.96,1.66
2017-06-23,15.0,75.37,0.5,2.17
2017-06-24,14.92,80.63,2.59,2.95
2017-06-25,16.19,74.63,0.8,2.49
2017-06-26,15.64,79.4,0.6,2.52
2017-06-27,15.28,78.1,0.71,2.86
2017-06-28,15.38,76.89,0.81,2.56
2017-06-29,15.52,79.74,1.76,2.3
2017-06-30,15.69,81.1,2.13,2.24
2017-07-01,15.79,79.57,0.95,1.48
2017-07-02,16.82,74.7,0.72,0.81
2017-07-03,15.81,83.71,2.2,1.1
2017-07-04,14.99,80.22,1.85,2.25
2017-07-05,15.32,81.25,2.72,2.22
2017-07-06,14.22,77.79,1.51,2.59
2017-07-07,14.87,75.0,0.43,2.42
2017-07-08,14.9,74.66,0.69,2.59
2017-07-09,15.69,76.26,0.73,1.53
2017-07-10,15.78,79.67,1.74,1.11
2017-07-11,15.8,78.11,1.92,0.76
2017-07-12,15.47,83.56,10.35,1.26
2017-07-13,16.27,79.06,3.15,1.47
2017-07-14,15.94,85.42,6.33,1.27
2017-07-15,15.13,85.17,2.02,1.5
2017-07-16,15.94,78.12,0.75,1.3
2017-07-17,15.59,79.88,0.93,2.06
2017-07-18,15.34,76.1,0.34,2.36
2017-07-19,15.82,70.24,0.26,2.14
2017-07-20,16.01,77.44,1.16,1.78
2017-07-21,16.48,81.84,3.78,1.4
2017-07-22,15.05,85.15,3.47,1.51
2017-07-23,15.93,82.85,2.47,1.66
2017-07-24,15.46,83.4,2.85,2.17
2017-07-25,15.36,78.92,1.43,1.58
2017-07-26,15.92,82.11,5.11,1.28
2017-07-27,15.98,80.86,4.29,2.02
2017-07-28,15.36,81.15,4.46,1.55
2017-07-29,15.43,81.02,1.18,1.63
2017-07-30,14.42,82.36,7.18,2.18
2017-07-31,14.83,83.24,8.65,2.92
2017-08-01,14.87,78.85,4.91,2.87
2017-08-02,14.07,83.07,4.41,2.4
2017-08-03,14.79,83.5,6.43,2.68
2017-08-04,15.25,80.55,1.72,2.14
2017-08-05,16.07,76.28,0.51,1.31
2017-08-06,16.46,76.75,1.27,1.7
2017-08-07,15.54,82.84,1.73,1.82
2017-08-08,14.54,82.14,3.01,1.63
2017-08-09,14.9,80.91,3.75,1.8
2017-08-10,14.84,79.89,5.07,1.99
2017-08-11,13.57,80.06,3.71,2.24
2017-08-12,14.6,80.11,2.35,2.61
2017-08-13,14.05,73.44,0.92,2.29
2017-08-14,14.91,81.96,4.02,2.49
2017-08-15,15.13,79.55,4.88,3.16
2017-08-16,15.38,77.31,2.2,2.52
2017-08-17,16.24,77.18,1.4,1.94
2017-08-18,16.08,73.12,0.52,2.28
2017-08-19,16.28,77.4,1.75,3.07
2017-08-20,16.32,73.42,0.86,3.14
2017-08-21,16.38,74.61,0.85,2.88
2017-08-22,16.62,76.3,1.07,1.76
2017-08-23,16.65,80.59,11.89,1.5
2017-08-24,14.87,81.89,3.38,1.54
2017-08-25,15.45,72.22,0.27,1.95
2017-08-26,15.76,72.21,0.26,2.06
2017-08-27,16.24,66.83,0.19,2.24
2017-08-28,15.43,78.05,0.68,2.24
2017-08-29,16.4,78.98,3.0,2.01
2017-08-30,15.68,81.66,4.78,1.43
2017-08-31,16.31,84.15,10.85,0.95
2017-09-01,14.81,84.25,11.47,1.73
2017-09-02,15.18,81.2,2.87,1.49
2017-09-03,15.19,85.38,2.89,1.78
2017-09-04,15.38,81.97,1.42,2.05
2017-09-05,15.75,79.85,1.06,1.64
2017-09-06,15.01,79.81,1.12,1.65
2017-09-07,14.44,76.56,0.66,1.94
2017-09-08,15.74,79.92,5.73,2.58
2017-09-09,16.12,80.06,6.0,2.47
2017-09-10,16.24,80.81,7.71,2.29
2017-09-11,16.53,78.9,6.33,1.99
2017-09-12,15.02,83.93,4.37,1.85
2017-09-13,15.86,78.84,3.75,2.32
2017-09-14,16.15,81.63,5.5,2.24
2017-09-15,15.94,82.92,4.08,1.02
2017-09-16,17.42,79.72,8.25,0.97
2017-09-17,16.65,80.95,3.91,1.18
2017-09-18,17.0,64.71,0.08,1.91
2017-09-19,15.39,76.46,1.79,2.85
2017-09-20,16.43,80.63,5.31,3.69
2017-09-21,15.96,81.45,7.88,3.55
2017-09-22,15.58,69.69,1.08,2.49
2017-09-23,15.29,70.92,0.6,0.79
2017-09-24,16.26,65.29,0.52,1.63
2017-09-25,16.25,72.28,0.33,1.96
2017-09-26,16.92,70.29,0.3,1.81
2017-09-27,16.86,66.89,0.12,2.33
2017-09-28,16.65,70.89,1.09,2.82
2017-09-29,16.7,75.33,2.24,3.03
2017-09-30,16.55,71.59,1.11,3.16
2017-10-01,16.91,72.54,1.81,3.21
2017-10-02,16.51,69.59,0.31,2.51
2017-10-03,16.52,68.4,0.1,2.12
2017-10-04,16.28,62.9,0.12,2.34
2017-10-05,17.51,66.44,0.33,2.46
2017-10-06,17.21,64.29,0.08,2.47
2017-10-07,17.24,66.99,0.13,2.38
2017-10-08,16.86,74.76,10.55,2.14
2017-10-09,16.89,80.4,10.95,1.5
2017-10-10,16.57,80.25,5.06,1.33
2017-10-11,17.39,76.14,6.99,1.04
2017-10-12,16.84,83.54,68.69,1.52
2017-10-13,16.6,84.8,10.32,1.51
2017-10-14,15.43,77.69,6.82,2.53
2017-10-15,16.37,80.62,1.39,1.59
2017-10-16,17.01,79.7,1.28,1.12
2017-10-17,17.01,80.5,0.96,0.83
2017-10-18,17.33,80.1,1.5,1.64
2017-10-19,16.96,86.69,6.73,1.99
2017-10-20,17.34,84.76,16.79,2.05
2017-10-21,16.73,81.81,3.58,3.27
2017-10-22,16.28,69.22,0.49,2.72
2017-10-23,16.43,77.08,4.29,2.51
2017-10-24,16.79,79.33,5.59,2.32
2017-10-25,17.53,85.01,11.76,3.42
2017-10-26,16.64,86.06,13.68,3.33
2017-10-27,16.39,86.88,6.33,2.9
2017-10-28,16.59,84.85,8.51,2.91
2017-10-29,16.22,85.96,10.11,3.74
2017-10-30,15.87,81.45,3.38,3.87
2017-10-31,16.02,77.61,1.83,3.14
2017-11-01,15.97,81.03,6.47,2.82
2017-11-02,15.95,84.02,14.97,3.64
2017-11-03,15.9,85.03,16.03,2.95
2017-11-04,16.32,84.94,23.65,3.28
2017-11-05,15.3,86.32,18.44,2.82
2017-11-06,15.73,85.04,16.07,2.51
2017-11-07,15.94,87.13,13.26,2.45
2017-11-08,16.4,87.4,21.21,2.27
2017-11-09,16.27,87.85,11.84,2.81
2017-11-10,16.16,87.85,10.85,2.52
2017-11-11,16.19,85.89,5.78,2.5
2017-11-12,16.05,87.48,4.04,3.16
2017-11-13,15.89,86.74,5.0,2.69
2017-11-14,15.86,86.33,6.88,2.6
2017-11-15,15.27,85.58,6.55,2.25
2017-11-16,15.5,84.28,5.62,2.06
2017-11-17,16.1,85.27,0.93,2.92
2017-11-18,16.01,85.02,1.13,3.11
2017-11-19,16.01,84.68,1.63,2.98
2017-11-20,15.78,84.08,1.05,2.33
2017-11-21,15.78,81.39,0.22,2.1
2017-11-22,15.97,83.26,3.35,2.06
2017-11-23,16.52,83.85,2.24,2.29
2017-11-24,16.45,86.41,4.87,2.46
2017-11-25,16.18,83.74,1.64,2.27
2017-11-26,15.49,81.87,1.42,2.34
2017-11-27,15.08,80.82,1.09,1.93
2017-11-28,15.88,82.19,1.92,1.64
2017-11-29,16.39,82.88,2.84,2.14
2017-11-30,16.25,85.35,5.14,2.59
2017-12-01,16.05,79.33,0.98,2.01
2017-12-02,15.98,78.28,0.77,1.84
2017-12-03,16.09,81.6,0.51,2.05
2017-12-04,16.0,78.19,0.7,2.07
2017-12-05,15.92,83.35,4.73,2.16
2017-12-06,15.97,84.78,5.17,2.65
2017-12-07,16.62,84.22,6.95,2.5
2017-12-08,16.57,83.9,3.77,2.56
2017-12-09,15.77,85.34,3.92,2.67
2017-12-10,14.75,76.62,0.53,2.33
2017-12-11,15.24,81.53,4.1,2.29
2017-12-12,15.24,76.85,0.43,2.36
2017-12-13,14.9,77.98,0.0,2.36
2017-12-14,16.25,74.36,0.0,1.79
2017-12-15,16.87,78.53,0.03,1.96
2017-12-16,17.06,77.15,0.01,2.84
2017-12-17,16.14,81.26,1.55,2.54
2017-12-18,16.03,83.22,3.9,2.83
2017-12-19,15.39,84.79,4.17,2.92
2017-12-20,14.39,82.1,0.86,2.78
2017-12-21,14.35,74.2,0.23,2.54
2017-12-22,14.62,74.54,0.0,2.26
2017-12-23,15.25,74.68,0.0,1.88
2017-12-24,15.35,70.2,0.0,1.95
2017-12-25,15.6,66.18,0.0,2.11
2017-12-26,15.68,69.7,0.0,2.21
2017-12-27,15.42,70.52,0.02,2.23
2017-12-28,15.81,71.95,0.09,2.21
2017-12-29,16.04,73.85,0.22,1.81
2017-12-30,16.36,70.28,0.26,2.12
2017-12-31,16.54,64.07,0.01,1.55
2018-01-01,17.47,57.88,0.01,1.31
2018-01-02,16.9,70.47,0.75,1.04
2018-01-03,16.37,78.21,1.64,1.27
2018-01-04,15.49,75.58,0.39,1.82
2018-01-05,16.04,66.7,0.03,1.93
2018-01-06,15.45,71.25,0.29,2.06
2018-01-07,15.62,70.22,0.17,1.62
2018-01-08,16.61,61.41,0.06,1.35
2018-01-09,16.99,62.71,0.27,0.94
2018-01-10,16.23,72.09,0.57,1.07
2018-01-11,15.1,72.91,1.03,1.65
2018-01-12,15.64,68.97,0.39,1.81
2018-01-13,15.58,66.01,0.06,1.59
2018-01-14,16.63,59.63,0.05,1.2
2018-01-15,16.43,50.14,0.0,1.47
2018-01-16,16.32,53.58,0.01,1.65
2018-01-17,16.68,64.1,0.32,1.6
2018-01-18,17.13,61.44,0.01,1.52
2018-01-19,17.51,68.22,0.55,1.94
2018-01-20,16.47,71.08,0.42,2.31
2018-01-21,16.25,62.8,0.02,2.46
2018-01-22,15.74,65.41,0.87,2.58
2018-01-23,16.2,63.76,0.26,2.34
2018-01-24,16.75,66.76,1.15,1.71
2018-01-25,17.28,72.72,6.09,1.13
2018-01-26,17.43,74.04,4.46,1.03
2018-01-27,17.63,68.57,0.26,1.93
2018-01-28,17.57,65.13,0.03,1.59
2018-01-29,17.43,60.05,0.0,1.73
2018-01-30,18.05,56.39,0.05,1.92
2018-01-31,16.93,68.63,0.07,2.25
2018-02-01,17.19,73.54,0.03,2.96
2018-02-02,16.88,73.14,0.04,2.72
2018-02-03,17.13,66.11,0.0,2.46
2018-02-04,17.15,64.85,0.03,2.44
2018-02-05,17.39,74.78,7.27,2.39
2018-02-06,17.12,71.47,1.61,2.62
2018-02-07,16.63,58.67,0.31,3.04
2018-02-08,16.23,48.75,0.0,2.34
2018-02-09,16.22,52.85,0.0,2.28
2018-02-10,16.42,62.77,0.26,2.88
2018-02-11,16.65,75.02,1.04,3.25
2018-02-12,16.49,69.29,0.11,3.26
2018-02-13,16.09,67.64,0.56,3.14
2018-02-14,16.71,77.77,2.3,3.15
2018-02-15,16.85,74.59,0.36,3.46
2018-02-16,17.13,70.66,0.25,3.19
2018-02-17,16.97,72.06,0.16,2.97
2018-02-18,17.55,70.32,0.11,2.87
2018-02-19,18.05,72.67,0.79,2.78
2018-02-20,17.36,76.45,7.12,2.83
2018-02-21,18.42,66.74,0.25,2.73
2018-02-22,18.03,70.37,0.68,2.6
2018-02-23,17.7,67.0,0.68,2.41
2018-02-24,17.7,65.57,0.67,2.57
2018-02-25,19.12,65.49,0.31,2.27
2018-02-26,19.44,58.22,0.04,2.13
2018-02-27,18.93,59.68,0.29,2.32
2018-02-28,18.62,71.49,1.18,2.07
2018-03-01,17.4,78.96,26.8,1.6
2018-03-02,16.02,86.72,23.66,1.56
2018-03-03,15.73,86.96,31.61,1.52
2018-03-04,14.82,86.74,11.56,2.78
2018-03-05,15.69,85.19,4.77,1.7
2018-03-06,15.31,87.85,3.6,1.59
2018-03-07,16.79,78.97,1.38,1.51
2018-03-08,16.99,76.59,2.78,1.8
2018-03-09,17.3,76.33,0.99,1.72
2018-03-10,17.76,70.16,0.66,1.46
2018-03-11,17.21,76.81,2.62,1.05
2018-03-12,17.49,77.88,6.35,1.05
2018-03-13,16.33,88.69,18.93,1.27
2018-03-14,16.87,83.07,16.21,0.96
2018-03-15,15.68,89.95,43.51,1.23
2018-03-16,14.86,87.43,21.36,1.46
2018-03-17,16.21,87.29,18.35,0.91
2018-03-18,16.7,85.77,4.98,1.7
2018-03-19,16.68,85.07,9.64,2.25
2018-03-20,16.13,88.47,40.09,3.08
2018-03-21,15.95,87.76,10.0,3.24
2018-03-22,15.94,85.09,1.57,2.5
2018-03-23,16.27,81.69,0.82,1.95
2018-03-24,16.77,83.7,1.67,2.34
2018-03-25,16.63,88.4,5.81,2.58
2018-03-26,16.88,86.06,3.74,2.84
2018-03-27,16.86,85.95,6.09,3.48
2018-03-28,16.31,86.15,5.06,3.4
2018-03-29,15.95,86.21,3.76,2.77
2018-03-30,15.88,85.57,1.99,2.62
2018-03-31,16.28,84.84,2.02,2.28
2018-04-01,16.35,85.45,3.68,2.15
2018-04-02,16.09,85.59,6.22,2.93
2018-04-03,16.13,84.68,6.04,3.47
2018-04-04,16.04,85.55,14.45,2.96
2018-04-05,16.12,84.42,5.04,2.35
2018-04-06,16.28,84.45,15.58,2.62
2018-04-07,16.44,86.12,14.04,2.9
2018-04-08,16.08,85.41,9.76,2.34
2018-04-09,16.17,85.97,8.62,2.06
2018-04-10,16.74,83.74,23.45,1.49
2018-04-11,16.32,89.8,25.07,2.47
2018-04-12,16.4,88.12,6.09,1.82
2018-04-13,15.88,89.79,11.22,1.97
2018-04-14,16.0,89.47,5.24,1.9
2018-04-15,15.96,86.95,49.59,0.89
2018-04-16,15.77,86.81,37.84,1.93
2018-04-17,15.51,87.02,42.14,2.04
2018-04-18,16.25,86.16,33.6,1.27
2018-04-19,15.66,88.14,47.74,1.15
2018-04-20,15.94,87.03,46.72,1.11
2018-04-21,16.62,87.91,57.28,1.63
2018-04-22,15.94,88.29,18.66,1.49
2018-04-23,16.41,89.49,66.55,1.04
2018-04-24,15.62,91.81,23.04,2.02
2018-04-25,16.2,90.07,6.63,2.38
2018-04-26,17.07,87.97,9.41,2.16
2018-04-27,16.26,90.07,14.81,2.87
2018-04-28,15.87,89.45,8.54,2.99
2018-04-29,15.4,88.59,4.35,3.31
2018-04-30,15.08,88.84,12.13,3.15
2018-05-01,15.15,90.02,17.91,3.13
2018-05-02,13.95,88.39,6.64,2.23
2018-05-03,15.13,86.76,2.26,2.06
2018-05-04,16.05,86.8,2.45,2.21
2018-05-05,16.02,89.05,4.12,2.99
2018-05-06,15.62,89.78,9.67,3.13
2018-05-07,15.57,90.66,5.4,2.95
2018-05-08,15.23,89.85,2.92,2.45
2018-05-09,15.56,88.66,4.56,2.43
2018-05-10,15.49,89.28,16.51,2.54
2018-05-11,15.08,91.27,8.47,2.74
2018-05-12,16.15,85.85,1.14,1.57
2018-05-13,16.98,87.49,3.67,1.27
2018-05-14,16.52,89.47,17.29,2.68
2018-05-15,15.61,86.89,3.59,2.65
2018-05-16,15.75,88.61,3.49,2.23
2018-05-17,15.56,88.49,2.51,2.45
2018-05-18,15.6,88.59,5.81,1.85
2018-05-19,15.53,87.79,11.53,1.74
2018-05-20,15.34,89.15,29.27,1.93
2018-05-21,15.52,90.38,30.94,2.94
2018-05-22,14.57,91.52,19.44,3.22
2018-05-23,14.96,90.01,9.37,2.79
2018-05-24,15.47,89.36,10.05,2.41
2018-05-25,15.11,89.64,5.97,2.15
2018-05-26,14.65,89.68,4.54,2.48
2018-05-27,15.25,89.14,3.25,2.5
2018-05-28,14.85,88.08,1.22,2.24
2018-05-29,13.71,82.76,0.15,1.91
2018-05-30,14.48,84.48,0.09,1.56
2018-05-31,15.74,86.81,1.89,1.78
2018-06-01,15.97,89.31,1.47,2.07
2018-06-02,15.8,89.93,2.79,2.54
2018-06-03,15.92,89.98,5.01,1.5
2018-06-04,15.55,91.88,10.38,1.7
2018-06-05,14.02,91.63,17.03,1.82
2018-06-06,14.21,89.58,6.1,2.04
2018-06-07,13.96,90.74,2.72,1.66
2018-06-08,14.04,91.56,2.15,1.71
2018-06-09,15.29,87.87,2.07,1.56
2018-06-10,15.15,87.35,0.49,1.93
2018-06-11,13.89,84.92,0.06,2.05
2018-06-12,13.95,89.43,0.39,2.77
2018-06-13,14.39,89.41,1.05,2.43
2018-06-14,14.87,87.68,1.0,1.44
2018-06-15,16.29,86.85,1.57,0.89
2018-06-16,15.25,89.37,3.09,1.39
2018-06-17,14.86,87.62,3.07,1.64
2018-06-18,14.62,90.52,2.25,1.95
2018-06-19,14.53,88.45,1.28,1.57
2018-06-20,14.19,87.79,0.55,1.58
